Order,Design No,Design,Curve01,Curve02,Curve03,Curve04,Curve05,Curve06,Curve07,Curve08,Curve09,Curve10,File01,File02,File03,File04,File05,File06,File07,File08,File09,File10
1,A0126  ,APPLICATOR                    ,Missing, , , , , , , , , ,Missing, , , , , , , , , ,
2,16673  ,DIGI CAMO                     ,EQ1,EQ1,EQ1,EQ1, , , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , , ,
3,16608  ,VS HERITAGE STRIPE            ,EQ1,EQ1,EQ1, , , , , , , ,eQ1.txt,eQ1.txt,eQ1.txt, , , , , , , ,
4,7823,LAMANTIA,CSS13,CSS13,CSS13,CSS13,CSS13,CSS13,CSS13,CSS13, , ,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt, , ,
5,16507  ,REALTREE XTRA                 ,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , ,
6,14779  ,BIG LEAGUE STRIPE             ,AVA8, , , , , , , , , ,AVA8.txt, , , , , , , , , ,
7,16599  ,SOCCER CAMO                   ,EQ1,EQ1,EQ1, , , , , , , ,eQ1.txt,eQ1.txt,eQ1.txt, , , , , , , ,
8,13077  ,SATSUMA                       ,AVA8, , , , , , , , , ,AVA8.txt, , , , , , , , , ,
9,16818,BADGER CAMO,EQ1,EQ1,EQ1,EQ1, , , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , , ,
10,C2015  ,SHANTUNG                      ,AVA8,AVA8,AVA8, , , , , , , ,AVA8.txt,AVA8.txt,AVA8.txt, , , , , , , ,
11,M72    ,BARKELEY                      ,Missing, , , , , , , , , ,Missing, , , , , , , , , ,
12,A0126,APPLICATOR,Missing, , , , , , , , , ,Missing, , , , , , , , , ,
13,14894  ,CIRCLES                       ,EQ1,EQ1, , , , , , , , ,eQ1.txt,eQ1.txt, , , , , , , , ,
14,16598  ,PERFECT PRINT                 ,EQ1,EQ1, , , , , , , , ,eQ1.txt,eQ1.txt, , , , , , , , ,
15,14990  ,MEBANE                        ,EQ1, , , , , , , , , ,eQ1.txt, , , , , , , , , ,
16,16717  ,TYE DRY                       ,EQ1,EQ1,EQ1,EQ1, , , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , , ,
17,9728,ASTONSHIRE,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8, , , , ,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt, , , , ,
18,A2392,SONATA BORDER,NC, , , , , , , , , ,Missing, , , , , , , , , ,
19,7987   ,BOYCE II                      ,DEC59/3,DEC59/3,DEC59/3,DEC59/3,DEC59/3,DEC59/3,DEC59/3, , , ,Decorflair 59-3.txt,Decorflair 59-3.txt,Decorflair 59-3.txt,Decorflair 59-3.txt,Decorflair 59-3.txt,Decorflair 59-3.txt,Decorflair 59-3.txt, , , ,
20,17123  ,ENGLAND STRIPE                ,EQ1, , , , , , , , , ,eQ1.txt, , , , , , , , , ,
21,16470  ,MODERN CAMO                   ,EQ1, , , , , , , , , ,eQ1.txt, , , , , , , , , ,
22,16235,HATCH TEXTURE,EQ1,EQ1,EQ1,EQ1, , , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , , ,
23,C6050  ,BA BA DOUBLE BORDER IV        ,DEC69,DEC69,DEC69,DEC69,DEC69,DEC69, , , , ,Decorflair 69.txt,Decorflair 69.txt,Decorflair 69.txt,Decorflair 69.txt,Decorflair 69.txt,Decorflair 69.txt, , , , ,
24,9452,ELASERIE BORDER,CSS13,CSS13,CSS13,CSS13,CSS13,CSS13, , , , ,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt, , , , ,
25,16807  ,VS DOTS ALL SHE WROTE VPD     ,EQ1,EQ1, , , , , , , , ,eQ1.txt,eQ1.txt, , , , , , , , ,
26,12079  ,GREENWICH FLORAL II           ,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8, , , ,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt, , , ,
27,11577,BORLAND TEXTURE,FAS15, , , , , , , , , ,Fashion15.txt, , , , , , , , , ,
28,16066,MY GRAIN,EQ1,EQ1, , , , , , , , ,eQ1.txt,eQ1.txt, , , , , , , , ,
29,12716,BRISA,AVA8, , , , , , , , , ,AVA8.txt, , , , , , , , , ,
30,11881  ,LORONG                        ,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8, , ,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt, , ,
31,14009,BELLFLOWER BUTTERFLY II       ,AVA10,AVA10,AVA10,AVA10,AVA10,AVA10, , , , ,AVA10.txt,AVA10.txt,AVA10.txt,AVA10.txt,AVA10.txt,AVA10.txt, , , , ,
32,15865  ,INCREASE                      ,EQ1,EQ1,EQ1,EQ1, , , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , , ,
33,17151  ,SHOCK                         ,EQ1,EQ1,EQ1, , , , , , , ,eQ1.txt,eQ1.txt,eQ1.txt, , , , , , , ,
34,M48    ,NIOVIZE                       ,Missing, , , , , , , , , ,Missing, , , , , , , , , ,
35,16556  ,SINGLE BUBBLE BORDER II       ,EQ1, , , , , , , , , ,eQ1.txt, , , , , , , , , ,
36,C5511  ,DUCHESSE DE BRABANT           ,FAS15,FAS15,FAS15,FAS15,FAS15,FAS15,FAS15,FAS15, , ,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt, , ,
37,A7443  ,SLY DOT                       ,CSS13,CSS13,CSS13,CSS13,CSS13,CSS13,CSS13,CSS13, , ,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt, , ,
38,8536   ,POCATELLO                     ,FAS15,FAS15,FAS15,FAS15, , , , , , ,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt, , , , , , ,
39,17150  ,BADGER STATIC                 ,EQ1,EQ1,EQ1,EQ1,EQ1, , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , ,
40,13203  ,GULFPORT STRIPE III           ,AVA8,AVA8,AVA8,AVA8,AVA8,AVA8, , , , ,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt,AVA8.txt, , , , ,
41,9731,JOURADO,FAS15, , , , , , , , , ,Fashion15.txt, , , , , , , , , ,
42,16411,BLACK & WHITE DBL BORDER,EQ1,EQ1, , , , , , , , ,eQ1.txt,eQ1.txt, , , , , , , , ,
43,C5194,FLAX II,NC, , , , , , , , , ,Missing, , , , , , , , , ,
44,X8115  ,LUXURY STRIE                  ,FAS15,FAS15,FAS15,FAS15,FAS15,FAS15, , , , ,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt,Fashion15.txt, , , , ,
45,17127,ITALY NEGATIVE,EQ1, , , , , , , , , ,eQ1.txt, , , , , , , , , ,
